maxRatio,minTrainLoss,minEvalLoss,modelIndex,slug,freqs,freqs_neurons,non_freqs
1465661.2513441762,1.835889000541837e-7,0.000014536329533797859,117,2023_07_20_20_27_49_289527,24 30 18 6 26,5 3 5 5 5,1
1569522.315530773,1.6725911510409214e-7,0.0000017769851557308579,118,2023_07_20_20_27_50_785533,23 32 11 3,5 6 5 8,0
1514945.9160481999,1.688469068081652e-7,8.744234206112006e-7,119,2023_07_20_20_27_51_883889,21 6 9,8 10 6,0
1443498.646887357,1.6596065572157604e-7,0.0000015433390190424212,120,2023_07_20_20_27_51_974798,31 7 16 10,6 5 7 6,0
1539447.0450686445,1.9207482171987037e-7,0.0000023335366106372117,121,2023_07_20_20_27_52_253666,20 27 19,6 5 5,8
1499959.9114489148,1.7837252400430557e-7,6.747620396179107e-7,122,2023_07_20_20_27_52_437592,0 10 7,8 10 6,0
1454605.5207509873,1.6669922498302445e-7,0.000002788046630665,123,2023_07_20_20_27_52_557482,29 11 27 7,6 5 5 5,3
1431332.3640474062,1.8144601096881805e-7,9.289134793485367e-7,124,2023_07_20_20_27_53_585586,21 29 27,8 7 9,0
1625565.1008413837,1.8227929021943522e-7,8.14913998390468e-7,125,2023_07_20_20_27_53_674523,5 14 1,7 7 7,3
1509960.750201294,1.7745125805361745e-7,7.538485551170806e-7,126,2023_07_20_20_27_55_229706,29 18 26,9 7 8,0
1318055.7779480468,1.7590061263118413e-7,9.409085719612238e-7,127,2023_07_20_20_27_55_561883,32 26 23,9 7 6,2
1562702.6566790298,1.7113548843620513e-7,7.331200254251064e-7,128,2023_07_20_20_27_55_730118,9 26 5,6 8 7,3
1524608.614070979,1.7865046726206413e-7,0.000001113215096789211,129,2023_07_20_20_27_56_140069,22 30 17 6,5 6 5 8,0
1393388.3165739665,1.96354732367127e-7,0.0000022721285725381604,130,2023_07_20_20_27_56_383395,17 2 13,7 10 7,0
1442264.686262481,1.795117257129094e-7,6.999551946226459e-7,131,2023_07_20_20_27_57_302882,20 27 0,9 8 6,1
1467898.37141103,1.6213070877233312e-7,0.0000012076984839965739,132,2023_07_20_20_27_57_321122,14 17 5 7,5 6 5 8,0
1386084.1095753252,1.918779287043857e-7,0.000025441165799412166,133,2023_07_20_20_27_57_505324,8 14 22 25 4,5 5 5 2 5,2
1438034.6248432708,1.7144333379031297e-7,0.000001608667575589361,134,2023_07_20_20_27_58_371023,31 22 19 12,6 5 6 5,2
1452626.1794680515,1.8035416296352172e-7,0.0000011814992422042201,135,2023_07_20_20_27_58_579491,3 18 12,7 11 6,0
1477962.0419552443,1.7511771698432346e-7,0.0000010626399832200338,136,2023_07_20_20_27_58_852146,8 24 4,8 6 8,2
1495678.6598808917,1.78799290143861e-7,0.0000018557696398880376,137,2023_07_20_20_27_59_066804,16 7 5 19,5 6 4 7,2
1503589.3018126353,1.8044775327591416e-7,6.280716819308209e-7,138,2023_07_20_20_27_59_071793,21 14 8,9 6 7,2
1482874.4281088968,2.2224739281914244e-7,0.0011983496155675783,139,2023_07_20_20_27_59_524273,10 26 20,5 5 5,9
1495051.022106143,1.7692576249247312e-7,0.0000024530593935548,140,2023_07_20_20_28_00_812548,29 14 23 4,6 5 5 5,3
1592665.4246872347,1.8279073045740744e-7,0.0000012395215066518863,141,2023_07_20_20_28_01_862577,6 31 0,8 5 7,4
1422860.2689965162,1.71866180186639e-7,0.0000028532273455563474,142,2023_07_20_20_28_02_624108,6 2 7 22,5 7 6 6,0
1432021.5491370556,1.6953958845419003e-7,5.822725504174044e-7,143,2023_07_20_20_28_02_777255,30 21 20,9 6 7,2
1459204.2141983425,1.8149330971791504e-7,0.0000024786232523864545,144,2023_07_20_20_28_02_789695,4 14 16 32,6 7 5 6,0
1389734.9155061443,1.7524689418050438e-7,0.0000012551613378200258,145,2023_07_20_20_28_02_867292,5 21 19,8 7 9,0
1482369.5764749062,2.3184582120718136e-7,0.0010305372252689424,146,2023_07_20_20_28_03_006228,26 29 11 17,5 5 5 1,8
1159737.036627558,1.8207016617849643e-7,7.128047374734983e-7,147,2023_07_20_20_28_03_730232,29 16 7,8 6 8,2
1518879.1051992837,1.8656969653505252e-7,9.563660552082677e-7,148,2023_07_20_20_28_04_383678,28 18 8 30,5 6 7 6,0
1456062.1368830088,1.8367549526474783e-7,0.000001177141737230851,149,2023_07_20_20_28_05_980595,12 8 2,7 10 5,2
1474231.7326839727,1.6986535285059946e-7,8.907501068186195e-7,150,2023_07_20_20_28_06_068922,18 24 8,8 8 6,2
1537642.3687501804,1.6734557484846254e-7,0.0000014356075285458853,151,2023_07_20_20_28_06_788780,16 10 7 31,6 7 6 5,0
1297177.3218408087,1.6814128953211265e-7,0.000001304857585577906,152,2023_07_20_20_28_08_620521,8 12 32 26,5 6 8 4,1
1480240.1209392427,1.8915402340604028e-7,0.000006313053227573797,153,2023_07_20_20_28_08_964385,19 2 30 9,7 6 5 3,3
1493498.83430343,2.0600971380616916e-7,0.0000011998996665959393,154,2023_07_20_20_28_09_216868,21 27 7,6 5 9,4
1405248.1711044214,1.8078908922603876e-7,0.0000013580485453839386,155,2023_07_20_20_28_10_152476,4 18 12,7 9 6,2
1584508.7013468663,2.06017783798848e-7,0.0000020709130663873216,156,2023_07_20_20_28_10_592502,29 1 8,5 7 7,5
1423697.1094205615,1.9941649675021625e-7,0.00003196957234876195,157,2023_07_20_20_28_11_031292,12 2 0 28,5 5 5 5,4
1363343.7315935234,1.7252861465055677e-7,0.000001366471765990657,158,2023_07_20_20_28_11_299292,19 29 21 12,5 1 7 6,5
1515849.091858249,1.8916265087636343e-7,0.0000017638939668821303,159,2023_07_20_20_28_11_449335,22 16 0 32,5 6 5 5,3
1430819.5598651792,1.8042292181638505e-7,8.220411016886308e-7,160,2023_07_20_20_28_11_544684,18 15 22,10 5 8,1
1470611.6826119046,2.214061906691678e-7,0.00037971302402500296,161,2023_07_20_20_28_11_904008,21 13 3 1,5 5 4 4,6
1458641.2353785094,1.9429034086161903e-7,0.0000014705504937569989,162,2023_07_20_20_28_13_607942,25 27 22,6 10 6,2
1375803.396333343,1.814234141621566e-7,9.410593698459381e-7,163,2023_07_20_20_28_13_820275,26 7 8,8 8 8,0
989291.413289519,1.9897043106585662e-7,9.262342033155114e-7,164,2023_07_20_20_28_14_629437,21 22 8,4 9 9,2
1477269.6108009643,1.859093952711877e-7,0.0000016187737620834624,165,2023_07_20_20_28_15_006553,31 21 16,8 7 8,1
1573491.758484516,1.7018064929184785e-7,8.463809903640956e-7,166,2023_07_20_20_28_15_827127,28 6 9,7 8 9,0
1507732.65025896,1.8892454411285684e-7,7.935445877260877e-7,167,2023_07_20_20_28_17_327826,18 3 7,9 5 8,2
1306235.4116780702,1.7551014057223462e-7,0.000001357160816437745,168,2023_07_20_20_28_17_558506,23 21 12 26,6 7 5 6,0
1424540.270573637,1.7268707387404233e-7,7.634782241723435e-7,169,2023_07_20_20_28_17_605146,7 18 16,8 9 7,0
1395717.7362476087,2.0953486105858374e-7,0.0000021916890418693604,170,2023_07_20_20_28_17_680574,5 25 13,7 8 8,1
1407304.92429656,1.7392005963470478e-7,0.0000019350178268947948,171,2023_07_20_20_28_18_100652,22 31 10 27,5 7 6 6,0
1524919.9875032906,1.9538537042204924e-7,0.0000013432032581912684,172,2023_07_20_20_28_18_425085,24 28 22,7 8 5,4
1347568.1357331704,1.781459884036785e-7,8.213029339673795e-7,173,2023_07_20_20_28_18_442681,11 16 14,7 7 8,2
1430727.2675001898,1.8091877839010446e-7,0.0000014749779937977726,174,2023_07_20_20_28_20_310774,20 15 3,5 9 8,2
1498157.4760827604,1.709671952089668e-7,5.750703568227639e-7,175,2023_07_20_20_28_20_950109,30 10 12,7 8 9,0
1027539.3255646309,1.6835014972711358e-7,0.0000015606422889044368,176,2023_07_20_20_28_22_087821,29 27 9 25,7 6 5 6,0
1377568.3239002016,1.71500045167514e-7,0.0000016673800011518932,177,2023_07_20_20_28_22_646751,0 23 31 26,5 7 5 5,2
1456000.988342097,1.891255424440494e-7,0.0000026427824395683806,178,2023_07_20_20_28_22_877823,13 30 24 32,5 4 5 6,4
1464014.7636527608,1.960587189435289e-7,0.0000010451144564377277,179,2023_07_20_20_28_23_016241,9 5 31,10 7 7,0
1479676.621931989,1.7525844683510047e-7,0.0000017535361974627514,180,2023_07_20_20_28_24_109959,7 26 22 32,5 5 6 6,2
1562170.3722093806,1.89174602094773e-7,9.752549738984686e-7,181,2023_07_20_20_28_24_330832,8 15 31,10 5 9,0
1470444.275115943,1.8344167172106203e-7,6.097863657447629e-7,182,2023_07_20_20_28_24_621190,24 21 32,6 6 12,0
1448395.662320453,1.8348699995621298e-7,0.000001596371480226018,183,2023_07_20_20_28_25_304834,16 23 3,6 8 10,0
1495267.4804434169,1.7948813462165139e-7,0.0000038132346893834994,184,2023_07_20_20_28_25_365488,29 11 26 13,6 6 5 4,3
1479893.7045099135,1.7878982366276304e-7,0.0000017789360784212401,185,2023_07_20_20_28_25_556449,0 17 6,8 8 6,2
1448469.9423022498,1.864264639841819e-7,0.000004728095238840652,186,2023_07_20_20_28_26_050446,17 6 5 2,7 5 6 6,0
1511217.3834825621,1.86607926925336e-7,5.904570283210534e-7,187,2023_07_20_20_28_26_131891,32 10 26,7 6 8,3
1463437.162054818,1.7970421568852467e-7,0.000006051035667477264,188,2023_07_20_20_28_26_821004,21 1 6 11,5 6 5 3,5
1531087.479324632,1.9364706907167767e-7,8.478614080643286e-7,189,2023_07_20_20_28_28_295585,22 6 9,10 7 7,0
1471023.0108657067,1.7584349877500386e-7,0.0000011819597051804791,190,2023_07_20_20_28_29_659510,8 19 20,8 6 8,2
1350665.068828395,1.9396062499630224e-7,0.000004097795856830566,191,2023_07_20_20_28_29_684394,8 10 14,6 7 7,4
1328559.920570581,1.914471811468006e-7,0.000002697866637606738,192,2023_07_20_20_28_30_517811,31 30 14,9 8 6,1
1441464.6185896392,1.911969537543089e-7,6.844153486547274e-7,193,2023_07_20_20_28_30_662547,32 29 6,11 5 7,1
1314967.5001454207,1.577517321851762e-7,0.0000017829478007156044,194,2023_07_20_20_28_31_795576,27 1 20 5,6 5 6 6,1
1440648.7506648784,1.8354797165852452e-7,7.957133389147906e-7,195,2023_07_20_20_28_32_842539,4 5 20,6 9 9,0
1441109.0795527757,1.8333116740236083e-7,8.420721092782701e-7,196,2023_07_20_20_28_33_215829,20 9 13,9 9 6,0
1144469.8730696195,1.5603407268187706e-7,0.0000015189820945213744,197,2023_07_20_20_28_34_829044,25 23 5 26,7 5 5 7,0
1392762.2150180475,1.998648819276752e-7,0.0000010903635753628142,198,2023_07_20_20_28_37_190007,29 3 7,7 5 10,2
1506641.6386374724,1.7816802615923698e-7,0.0000037551873628551795,199,2023_07_20_20_28_38_210452,18 2 9 23,5 6 5 5,3
1440459.5562085884,1.7747794747940333e-7,0.000003882125775046864,200,2023_07_20_20_28_38_472941,0 4 22 25,5 8 7 2,2
1474761.4131391917,1.6150251003718494e-7,0.0000011878616388075378,201,2023_07_20_20_28_38_542216,3 12 14 9,5 5 6 7,1
1552768.1162745613,1.837178254694563e-7,8.470842527348403e-7,202,2023_07_20_20_28_38_785974,30 11 20,9 7 8,0
1476465.632222471,1.8671854968050423e-7,0.0000014067022452595286,203,2023_07_20_20_28_39_048620,12 1 17,11 7 6,0
1407590.7065047326,1.8876496218259704e-7,9.612331233316271e-7,204,2023_07_20_20_28_39_310810,14 20 3,9 6 6,3
1616996.1353797899,1.9323723936940496e-7,0.000001148264869363799,205,2023_07_20_20_28_40_041247,15 20 28,8 6 7,3
1335374.6208896642,2.1541377891218803e-7,0.000010736088159134139,206,2023_07_20_20_28_40_079657,13 27 8,6 8 6,4
1412060.1403000306,1.9896838024545947e-7,0.000003365158739982885,207,2023_07_20_20_28_40_882275,11 14 24,7 6 8,3
1544454.586636262,1.8167564811623612e-7,9.991347233686029e-7,208,2023_07_20_20_28_41_486987,19 24 8,6 9 7,2
1421444.020484674,2.0664915538645446e-7,0.000024910529195523062,209,2023_07_20_20_28_41_513338,8 12 32 28,6 4 8 2,4
1260831.2554089774,2.084719024111172e-7,0.000030104634092784473,210,2023_07_20_20_28_42_132799,25 28 21,7 5 5,7
1475303.1314861139,1.9048020066895354e-7,9.076011389443521e-7,211,2023_07_20_20_28_42_478774,14 20 7,5 9 10,0
1398942.812425016,1.7009274888712894e-7,0.0000018459757564392024,212,2023_07_20_20_28_42_771373,6 3 9 21,6 5 5 8,0
1513145.5558068226,1.6960376435254597e-7,0.000001257395305651389,213,2023_07_20_20_28_43_192357,5 8 0 28,8 6 5 5,0
1463519.8521156204,2.2166676733785963e-7,0.00001930395272703368,214,2023_07_20_20_28_43_977222,28 0 30,6 5 6,7
1453310.2300271713,1.7928848703096517e-7,0.0000013554189698984689,215,2023_07_20_20_28_44_146775,3 9 32,9 6 6,3
1319505.0257805265,1.9255643491169847e-7,9.439428101303583e-7,216,2023_07_20_20_28_45_207935,11 32 2,6 8 6,4
1567902.1108443758,2.0607045396658584e-7,0.0000014783520059256924,217,2023_07_20_20_28_45_373212,16 32 29,5 10 7,2
1461843.280511372,1.8112220238721803e-7,0.0000023367261006426827,218,2023_07_20_20_28_45_601315,22 7 0 31,6 5 6 7,0
1451958.1167927722,1.6823005727462506e-7,0.0000022744951833961353,219,2023_07_20_20_28_46_231380,29 5 26 10,5 6 5 5,3
1454568.4000960013,1.8882559977136194e-7,8.492496407332831e-7,220,2023_07_20_20_28_46_719286,0 6 30,8 8 8,0
1374168.0076125793,1.728993690433711e-7,8.218510911327395e-7,221,2023_07_20_20_28_47_280841,4 5 19,8 8 8,0
1502026.4525379601,1.8950564872589304e-7,7.59627089458696e-7,222,2023_07_20_20_28_47_633006,22 15 3,9 7 6,2
1327895.017758868,1.710683563222305e-7,0.000002517931740953253,223,2023_07_20_20_28_47_745613,10 16 6 1,6 7 6 5,0
